"video","Baton","Pepper Spray","Uniformed","Chemical Smoke","Gun","Riot Shield","Non Uniformed","spray","running","crowd","brawling","person_on_ground","throwing","arresting","striking","violent_actions","detections_by_second"
"P1000422.mp4","","5","","","","","64","","","","","46","","","","0","[object Object]"
"P1000421.mp4","","5","17","","","4","169","","","","28","","","","","28","[object Object]"
"P1000420.mp4","","","","","","","156","","","15","","8","","","","0","[object Object]"
"P1000405.mp4","","","5","","","","54","","","15","","37","","","","0","[object Object]"
"P1000406.mp4","","","","","","","2","","","","","","","","","0","[object Object]"
"P1000407.mp4","","","","","","","20","","","","","3","","","","0","[object Object]"
"P1000445.mp4","","","","","","","27","","","8","","10","","","","0","[object Object]"
"P1000423.mp4","","","","","","","410","","","24","","","","","","0","[object Object]"
"P1000426.mp4","","1","1","","2","","302","2","","","20","","","","","20","[object Object]"
"Two_Man_Carry_4.mp4","","","","","","","34","","","6","","6","","","","0","[object Object]"
"Two_Man_Carry_3.mp4","","","","","","","55","","","","","4","","","","0","[object Object]"
"Two_Man_Carry_2.mp4","","","","","","","21","","","","","1","","","","0","[object Object]"
"P1000424.mp4","9","1","","","2","","68","","","16","","","","","","0","[object Object]"
"P1000427.mp4","","","","","2","","4","","","","2","","","","","2","[object Object]"
"Two_Man_Carry_1.mp4","","","1","","","","62","","","","","9","","","","0","[object Object]"
"P1000428.mp4","","1","","","2","","4","","","","","1","","","","0","[object Object]"
"Two_Man_Carry_5.mp4","","","","","","","43","","","1","","1","","","","0","[object Object]"
"P1000429.mp4","","","","","","","33","","","","","","","","","0","[object Object]"
"VID_20211024_105303.mp4","","11","","","","","2","8","","","","","","","","0","[object Object]"
"VID_20211024_105203.mp4","","","","","","","","1","","","","","","","","0","[object Object]"
"P1000442.mp4","","","15","","5","","212","","","","","","","","","0","[object Object]"
"P1000433.mp4","24","","","","1","","46","","","","","23","","","","0","[object Object]"
"P1000441.mp4","29","","","","","","206","","","3","","57","","","","0","[object Object]"
"P1000447.mp4","9","","","","","","201","","","","","","","","","0","[object Object]"
"PXL_20211024_233128774.mp4","","","1","12","","","7","","","14","","14","","","","0","[object Object]"
"PXL_20211024_233058715.mp4","","","","","","","6","","","","","2","","","","0","[object Object]"
"PXL_20211024_232648693.mp4","","","1","","","","3","","","","","1","","","","0","[object Object]"
"PXL_20211024_233759548.mp4","","","","","","","6","","","","","1","","","","0","[object Object]"
"PXL_20211024_233154815.mp4","","","","","","","2","","","","","","","","","0","[object Object]"
"PXL_20211024_232737119.mp4","","","","","","","1","","","","","1","","","","0","[object Object]"
"PXL_20211024_232755994.mp4","","","1","","","","","","","","","","","","","0","[object Object]"
"PXL_20211024_232803175.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"PXL_20211024_233355130.mp4","","","2","","","","2","","","1","","1","","","","0","[object Object]"
"PXL_20211024_233231643.mp4","","","","6","","","1","","","","","1","","","","0","[object Object]"
"PXL_20211024_232807772.mp4","","","","1","","","4","","","1","","1","","","","0","[object Object]"
"PXL_20211024_233738075.mp4","","","","","","1","6","","","","","","","","","0","[object Object]"
"PXL_20211024_232822038.mp4","","","","","","","8","","","1","","1","","","","0","[object Object]"
"PXL_20211024_233341751.mp4","","","","1","","","1","","","","","1","","","","0","[object Object]"
"PXL_20211024_232843441.mp4","","","","","","","1","","","4","","4","","","","0","[object Object]"
"PXL_20211024_233745914.mp4","","","","3","","","1","","","","","","","","","0","[object Object]"
"VID_20211024_110218.mp4","","3","","","","","29","23","","","","","","","","0","[object Object]"
"WA2021-11-14_01.09.14.mp4","1","1","","","","","24","14","","","","2","2","","","0","[object Object]"
"WA2021-11-14_00.54.16.mp4","","","","","","","11","","","4","","4","","","","0","[object Object]"
"VID_20211024_112001.mp4","","","","","","","","5","5","","","","9","","","0","[object Object]"
"WA2021-11-14_01.07.42.mp4","","","","","","","23","4","","6","","","","","","0","[object Object]"
"VID_20211111_100802.mp4","","","","","","2","","","","","","","","","","0","[object Object]"
"WA_DSCF3104.mp4","","","6","","","","10","","","","","","","","","0","[object Object]"
"WA2021-11-14_00.25.46.mp4","1","1","1","","","2","2","1","","","","","","","","0","[object Object]"
"VID_20211114_104303.mp4","","","","","","","11","5","","","","","","","","0","[object Object]"
"VID_20211118_232337_347.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"WA_DSCF3108.mp4","","","9","4","","","5","8","","","","","","","","0","[object Object]"
"WA2021-11-14_00.55.38.mp4","","1","","","","1","1","1","","1","","","","","","0","[object Object]"
"VID_20211123_093820.mp4","","","","","","","","1","","","","","","","","0","[object Object]"
"VID_20211123_100008.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"WA2021-11-14_00.52.35.mp4","","","","","2","","9","","","1","","","","","","0","[object Object]"
"WA_DSCF3105.mp4","","","4","","","","59","","","12","","12","","","","0","[object Object]"
"VID_20211123_101900.mp4","","","","","","4","","1","","","","","","","","0","[object Object]"
"VID_20211123_102250.mp4","","","","","","2","","1","","","","","","","","0","[object Object]"
"WA2021-11-14_01.02.20.mp4","","","","","","","9","","","1","","","","","","0","[object Object]"
"WA_DSCF3107.mp4","","","1","","","","","29","","","","","","","","0","[object Object]"
"WA2021-11-14_00.22.36.mp4","","","4","","","","4","","","1","","1","","","","0","[object Object]"
"VID_20211024_105919.mp4","","","","1","","5","54","51","","4","","","","","","0","[object Object]"
"WA_DSCF3109.mp4","","","1","1","","","12","4","","8","","19","","","","0","[object Object]"
"WA_DSCF3202.mp4","5","2","","","","","37","9","","5","","4","","","","0","[object Object]"
"WA_DSCF3110.mp4","14","","53","","1","","26","","","7","","","","","","0","[object Object]"
"WA_DSCF3201.mp4","","","","","","","45","8","","","","","","","8","8","[object Object]"
"WA_DSCF3111.mp4","","","1","2","","","16","","","23","","","","","4","4","[object Object]"
"WA_DSCF3207.mp4","","","","","","","11","1","","","","","","","","0","[object Object]"
"WA_DSCF3206.mp4","","","","","","1","23","19","","8","","12","","","","0","[object Object]"
"WA_DSCF3112.mp4","","","1","2","","","","","","7","","7","","","","0","[object Object]"
"WA_DSCF3203.mp4","","","1","","","","19","1","","","","","","","","0","[object Object]"
"WA_DSCF3208.mp4","","","6","","","","67","33","","","","17","","","11","11","[object Object]"
"WA_DSCF3219.mp4","3","","3","","","","110","12","","","","14","","","","0","[object Object]"
"WA_DSCF3237.mp4","","","","","","","80","8","","7","","8","","","4","4","[object Object]"
"WA_DSCF3228.mp4","","3","","","","","30","6","","","","4","","","2","2","[object Object]"
"WA_DSCF3227.mp4","","1","","","","","9","3","","","","3","","","","0","[object Object]"
"WA_DSCF3226.mp4","","1","","","","","37","18","","","","16","","","","0","[object Object]"
"WA_DSCF3235.mp4","15","","","","","","20","2","","","","4","","","","0","[object Object]"
"WA_DSCF3246.mp4","8","","2","","","","59","14","","","4","27","","","","4","[object Object]"
"WA_DSCF3250.mp4","25","","","","","","181","30","","","","39","","","3","3","[object Object]"
"WA_DSCF3251.mp4","9","","","","3","","81","24","","","","17","","","7","7","[object Object]"
"WA_DSCF3249.mp4","9","","","","10","","170","17","","8","","12","","","7","7","[object Object]"
"WA_DSCF3248.mp4","29","","","","7","","171","37","","","","16","","","4","4","[object Object]"
"WA_DSCF3247.mp4","16","","","","2","","220","32","","","","16","","","19","19","[object Object]"
"WA_DSCF3252.mp4","6","","5","","16","","196","40","","","","4","","","","0","[object Object]"
"drilling_draft1.mp4","","","130","","10","428","2738","303","20","136","","115","","4","115","119","[object Object]"
"latesT_PAtriotfront.mp4","5","1","335","21","10","86","850","31","","137","133","296","","","","133","[object Object]"
"paint_test_20211208_212840.mp4","","","","","","","","2","","","","","","","","0","[object Object]"
"sample2.mp4","","","","1","","","6","","","","","","","","","0","[object Object]"
