"video","Baton","Pepper Spray","Uniformed","Chemical Smoke","Gun","Riot Shield","Non Uniformed","spray","running","crowd","brawling","person_on_ground","throwing","arresting","striking","violent_actions","detections_by_second"
"2021-11-21_11.20.41.mp4","","","","","","","17","1","","","","","","","","0","[object Object]"
"2021-11-21_11.04.38.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"2021-11-21_11.01.16.mp4","","","","","","","1","","","","","","","","","0","[object Object]"
"2021-11-21_11.41.56.mp4","","","","","","","15","","","","","","","","","0","[object Object]"
"2021-11-21_11.19.03.mp4","","","","","","","2","","","","","","","","","0","[object Object]"
"2021-11-21_11.01.37.mp4","","","","","","","6","1","","","","","1","","","0","[object Object]"
"2021-11-21_11.02.19.mp4","","","","","","","2","","","","","","","","","0","[object Object]"
"2021-11-21_11.20.53.mp4","","","","","","1","6","","","1","","","","","","0","[object Object]"
"2021-11-21_11.19.19.mp4","","","","","","","10","","","1","","1","","","","0","[object Object]"
"2021-11-21_11.45.22.mp4","","","","","","","8","","","","","","","","","0","[object Object]"
"2021-11-21_11.43.27.mp4","","","","","","","11","","","","","","","","","0","[object Object]"
"2021-11-21_11.19.37.mp4","","","","","","","15","","","","","","","","","0","[object Object]"
"2021-11-21_11.42.25.mp4","","","","","","","8","","","","","1","","","","0","[object Object]"
"2021-11-21_11.52.38.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"2021-11-21_11.44.41.mp4","","","","","","","8","","","","","","","","","0","[object Object]"
"2021-11-21_11.45.38.mp4","","","","","","","3","","","","","","","","","0","[object Object]"
"2021-12-11_14.59.11.mp4","","","","4","","","","","","18","","47","","","","0","[object Object]"
"2021-12-11_13.23.17.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211030_195421.mp4","","","","","","16","","","","","","","","","","0","[object Object]"
"20211030_194415.mp4","","1","3","","","1","75","27","","","","4","","","","0","[object Object]"
"20211114_074651.mp4","","","","","","","60","","","4","","","","","","0","[object Object]"
"20211114_083012.mp4","9","","8","","","4","272","131","","28","","41","4","","","0","[object Object]"
"20211030_194829.mp4","","","","","","","","","","","","66","","","4","4","[object Object]"
"20211114_080500.mp4","1","","","","1","1","131","49","","23","","","","","","0","[object Object]"
"20211114_075907.mp4","","","","","","","1","","","","","","","","","0","[object Object]"
"20211114_085450.mp4","4","","","","","","155","89","","3","","3","","","","0","[object Object]"
"20211114_081158.mp4","","","","","","","","","","8","","","","","","0","[object Object]"
"20211114_084305.mp4","7","","1","6","1","6","208","91","","118","","51","","","","0","[object Object]"
"20211114_083542.mp4","","","","1","","","","2","","","","","","","","0","[object Object]"
"20211114_084913.mp4","","","","","","","","13","","8","","","","","","0","[object Object]"
"20211120_110621.mp4","","","1","","","","44","","","1","","1","","","","0","[object Object]"
"20211114_085636.mp4","","","","","","2","","","","","","","","","","0","[object Object]"
"20211114_085835.mp4","","","","","","","","","1","","","","","","","0","[object Object]"
"20211030_200848.mp4","","","1","","","26","62","","","22","","33","","","","0","[object Object]"
"P1000325.mp4","","","","","","","36","26","","12","","","","","","0","[object Object]"
"20211030_223650.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211114_070740.mp4","","","","10","","","3","4","","4","","4","","","","0","[object Object]"
"20211030_222809.mp4","","","","","","","7","","","","","2","","","","0","[object Object]"
"20211030_223733.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211030_222853.mp4","","","","","","","1","","","1","","","","","","0","[object Object]"
"20211114_070900.mp4","9","","","","","","135","39","","8","","8","","","","0","[object Object]"
"20211030_223913.mp4","","","","1","","","","","","","","","","","","0","[object Object]"
"20211114_062037.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211030_223123.mp4","","","","","2","","9","","","7","","7","","","","0","[object Object]"
"20211114_070424.mp4","6","","","","","","12","","","","","","","","","0","[object Object]"
"20211212_022026.mp4","","1","3","","","","18","3","","","","","","","","0","[object Object]"
"20211211_103740.mp4","","","","","","","91","","","8","","","","","","0","[object Object]"
"20211212_021939.mp4","","","","","","","16","3","","","","","","","","0","[object Object]"
"20211212_021755.mp4","1","","4","","","","13","","","","","","","","","0","[object Object]"
"20211211_103832.mp4","","","","","","","23","","","12","","","","","","0","[object Object]"
"20211211_103928.mp4","","","","","","","","","","1","","","","","","0","[object Object]"
"Cross_Media-11.mp4","","","","","","","214","","","92","","92","","","","0","[object Object]"
"20211211_105814.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211212_021815.mp4","","","","","","","5","2","","","","","","","","0","[object Object]"
"20211212_021641.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211212_021959.mp4","","","","","","","1","","","","","","","","","0","[object Object]"
"20211212_021832.mp4","","","","","","","5","","","","","","","","","0","[object Object]"
"20211212_022042.mp4","","","","","","","5","","","","","","","","","0","[object Object]"
"20211212_021915.mp4","","","","","","","9","","","","","","","","","0","[object Object]"
"20211212_022104.mp4","","","3","","","","7","1","","","","","","","","0","[object Object]"
"Cross_Media-12.mp4","","","","","","","49","","","14","","12","","","","0","[object Object]"
"20211212_022050.mp4","","","","","","","10","1","","","","","","","","0","[object Object]"
"20211212_022118.mp4","","","","","","","2","1","","","","","","","","0","[object Object]"
"DSCF2534.mp4","","","2","","","","66","15","22","65","","15","","","","0","[object Object]"
"Cross_Media-14.mp4","","","","","","","486","","","175","","137","","","","0","[object Object]"
"Cross_Media-2.mp4","","1","23","","1","","423","","","100","","26","","","","0","[object Object]"
"Cross_Media-15.mp4","","","","","","","54","","","13","","","","","","0","[object Object]"
"Cross_Media-20.mp4","","","22","","3","","66","","","1","","1","","","","0","[object Object]"
"Cross_Media-5.mp4","","","","","","","70","","","10","","4","","","","0","[object Object]"
"Cross_Media-3.mp4","","","4","","","","175","","","8","","4","","","","0","[object Object]"
"Cross_Media-4.mp4","","4","7","","","","224","","","58","","12","","","","0","[object Object]"
"DSCF3010.mp4","","","8","1","1","","34","12","","","","","","","","0","[object Object]"
"DSCF3001.mp4","","","","","","4","37","","","","","","","","","0","[object Object]"
"DSCF2989.mp4","17","","7","","1","","26","7","","","","","","","","0","[object Object]"
"Drilling_11.mp4","","","","","","","160","7","","","","","","","8","8","[object Object]"
"DSCF2999.mp4","","","","4","","","10","","","","","","","","","0","[object Object]"
"Drilling_12.mp4","","","1","","","","43","","","","","","","","1","1","[object Object]"
"DSCF3009.mp4","","","","","","4","11","","","","","","","","","0","[object Object]"
"DSCF3013.mp4","","","4","","","","38","","","","","","","","","0","[object Object]"
"Drilling_15.mp4","","","","","","","466","","15","","","","","","20","20","[object Object]"
"Drilling_13.mp4","","","","","","","32","","","","","","","","1","1","[object Object]"
"DrillingInstruction_2_3.mp4","2","9","240","","11","206","1599","179","3","121","4","200","","","12","16","[object Object]"
"Drilling_16.mp4","","","","","","","29","1","","","","","","","","0","[object Object]"
"Drilling_14.mp4","","","","","","","24","","","","","","","","","0","[object Object]"
"Drilling_10.mp4","","","1","","","","41","","1","","","","","","","0","[object Object]"
"DSCF2616.mp4","","","","","","","79","1","","","","","","","","0","[object Object]"
"DSCF2585.mp4","","","40","","1","","68","4","2","20","","16","","","","0","[object Object]"
"Drilling_17.mp4","","","","","","","259","","","","","","","","26","26","[object Object]"
"DSCF2623.mp4","","","","","","","101","","","1","","","","","","0","[object Object]"
"Fireman_Carry_10.mp4","","","","","","","80","9","","4","","4","","","","0","[object Object]"
"Drilling_18.mp4","","","","","","","47","","","","","","","","","0","[object Object]"
"DSCF2645.mp4","","","","","","","1","","1","","","","","","","0","[object Object]"
"P1000343.mp4","","","15","","","","21","9","","19","","4","","","","0","[object Object]"
"Fireman_Carry_11.mp4","","","2","","","","199","8","11","4","","19","","","","0","[object Object]"
"DSCF2962.mp4","","","","","","","45","19","","","","","","","","0","[object Object]"
"DSCF2769.mp4","3","","248","","2","2","326","12","163","192","","259","","","","0","[object Object]"
"DSCF2678.mp4","","","18","","2","","74","","8","50","","7","","","","0","[object Object]"
"DSCF2963.mp4","","","4","","","","7","","","","","","","","","0","[object Object]"
"DSCF2714.mp4","","","15","","","","","","40","4","","13","","","","0","[object Object]"
"DSCF2961.mp4","","","3","","","","55","","9","","","","","","","0","[object Object]"
"DSCF2727.mp4","","","","","","","","","","1","","1","","","","0","[object Object]"
"DSCF2965.mp4","","","1","2","","","33","","","1","","1","","","","0","[object Object]"
"Drilling_19.mp4","","","2","","","","299","","8","","","","","","23","23","[object Object]"
"Drilling_20.mp4","","","","","","","127","","4","","","4","","","","0","[object Object]"
"Drilling_2.mp4","","","","","","","296","31","","","","","","","","0","[object Object]"
"Drilling_8.mp4","","","","","","","80","1","","","","","","","","0","[object Object]"
"Drilling_1.mp4","","","1","","","","52","1","","","","","","","","0","[object Object]"
"Drilling_5.mp4","","","5","","","","205","8","","","","","","","","0","[object Object]"
"Drilling_3.mp4","","","","","","","54","1","","","","","","","","0","[object Object]"
"Drilling_7.mp4","","","3","","","","37","","1","","","","","","","0","[object Object]"
"Drilling_6.mp4","","","","","","","33","1","","","","","","","","0","[object Object]"
"Drilling_4.mp4","","","1","","","","7","","","","","","","","","0","[object Object]"
"Drilling_9.mp4","","","","","","","113","","","","","","","","4","4","[object Object]"
"GH010031.mp4","","","","","","","","","","","","","","","","","[object Object]"
"GH010067.mp4","","","","","","","","55","81","126","","66","4","","","0","[object Object]"
"GH010059.mp4","","","","","","","","","","227","","254","","","","0","[object Object]"
"GH010060.mp4","","","","","","","","","4","4","","","","","","0","[object Object]"
"Group_Pushup-3man.mp4","","","","","","","7","","","1","","","","","","0","[object Object]"
"Fireman_Carry_8.mp4","","","2","","","","76","","","12","","19","","","","0","[object Object]"
"Fireman_Carry_2.mp4","","","","","","","11","1","","","","","","","","0","[object Object]"
"Fireman_Carry_1.mp4","","","1","","","","130","4","","13","","21","","","","0","[object Object]"
"Fireman_Carry_9.mp4","","","1","","","","87","4","","8","","15","","","","0","[object Object]"
"Fireman_Carry_3.mp4","","","","","","","3","","","","","","","","","0","[object Object]"
"P1000344.mp4","","","14","","","","13","7","4","","","8","16","","","0","[object Object]"
"P1000347.mp4","","1","10","","5","","15","12","","8","","11","","","","0","[object Object]"
"Fireman_Carry_4.mp4","","","","","","","6","","","","","1","","","","0","[object Object]"
"Fireman_Carry_5.mp4","","","","","","","6","","","","","","","","","0","[object Object]"
"P1000345.mp4","","","1","","","","","4","","19","","","","","","0","[object Object]"
"Fireman_Carry_6.mp4","","","","","","","18","","","","","4","","","","0","[object Object]"
"P1000346.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"Fireman_Carry_7.mp4","","","","","","","4","","","","","","","","","0","[object Object]"
"Group_Pushup_2.mp4","","","3","","","","300","","","48","","17","","","","0","[object Object]"
"P1000327.mp4","","","26","","1","","35","15","","73","","12","","","","0","[object Object]"
"P1000330.mp4","","","","","2","","64","12","","","1","32","","","","1","[object Object]"
"IMG_1509.mp4","","2","6","","","","140","22","","","","24","4","","4","4","[object Object]"
"P1000329.mp4","","","","","","","12","","","","","22","","","","0","[object Object]"
"P1000349.mp4","","3","2","","","","85","57","","4","","","","","","0","[object Object]"
"P1000328.mp4","","","127","","","","152","23","","65","","61","","","","0","[object Object]"
"P1000348.mp4","","1","1","","","","24","8","","","","","","","","0","[object Object]"
"IMG_1510.mp4","","","2","","","","107","6","","4","","15","8","","23","23","[object Object]"
"IMG_1512.mp4","","","5","","","","123","7","","","","","16","","12","12","[object Object]"
"P1000350.mp4","","2","","","","","23","8","","","","","","","","0","[object Object]"
"P1000373.mp4","34","","5","","3","","452","4","","37","","166","","","","0","[object Object]"
"P1000374.mp4","","","","","","","1","","","","","","","","","0","[object Object]"
"P1000331.mp4","","2","","","","","45","","","","","28","","","","0","[object Object]"
"P1000372.mp4","6","10","","","5","","306","4","","43","","176","","","","0","[object Object]"
"P1000332.mp4","","","","","","2","3","","","","","38","","","","0","[object Object]"
